Asset ID,Asset Name,Asset Type,Business Process,Owner,Location,Classification,Data Sensitivity,Criticality,RTO (Hours),RPO (Hours),ServiceNow Asset Module Reference,Notes
AST-001,Digital Banking Portal (India),Application,Digital Banking,VP Digital Banking,India,Restricted,PII,High,2,1,https://dev269444.service-now.com/asset.do?sys_id=asset_001,Serves 200M+ customers
AST-002,Digital Banking Portal (Singapore),Application,Digital Banking,VP Digital Banking,Singapore,Restricted,PII,High,2,1,https://dev269444.service-now.com/asset.do?sys_id=asset_002,Serves 200M+ customers
AST-003,Digital Banking Portal (UK),Application,Digital Banking,VP Digital Banking,UK,Restricted,PII,High,2,1,https://dev269444.service-now.com/asset.do?sys_id=asset_003,Serves 200M+ customers
AST-004,Payment Gateway,Application,Payments,VP Payments,Multi-Region,Restricted,Financial,Critical,1,0.5,https://dev269444.service-now.com/asset.do?sys_id=asset_004,Processes 5M+ transactions daily
AST-005,Mobile Wallet App (Android),Application,Mobile Banking,VP Digital Banking,Multi-Region,Restricted,PII,High,4,2,https://dev269444.service-now.com/asset.do?sys_id=asset_005,Native Android app
AST-006,Mobile Wallet App (iOS),Application,Mobile Banking,VP Digital Banking,Multi-Region,Restricted,PII,High,4,2,https://dev269444.service-now.com/asset.do?sys_id=asset_006,Native iOS app
AST-007,Merchant Dashboard,Application,Payments,VP Payments,Multi-Region,Confidential,Financial,High,4,2,https://dev269444.service-now.com/asset.do?sys_id=asset_007,Used by 50K+ merchants
AST-008,Loan Processing System,Application,Lending,VP Lending,India,Restricted,PII,High,4,4,https://dev269444.service-now.com/asset.do?sys_id=asset_008,Core loan origination and underwriting
AST-009,KYC/AML System,Application,Compliance,Compliance Officer,Multi-Region,Restricted,PII,Critical,2,1,https://dev269444.service-now.com/asset.do?sys_id=asset_009,Regulatory requirement
AST-010,Customer Relationship Management (CRM),Application,Sales/Support,VP Operations,Multi-Region,Confidential,Customer Data,Medium,8,12,https://dev269444.service-now.com/asset.do?sys_id=asset_010,Salesforce / custom
AST-011,Enterprise Resource Planning (ERP),Application,Finance,CFO,Multi-Region,Internal,Financial,Medium,8,24,https://dev269444.service-now.com/asset.do?sys_id=asset_011,Netsuite or equivalent
AST-012,Human Resources Management (HRMS),Application,HR,HR Director,Multi-Region,Confidential,PII,Medium,12,24,https://dev269444.service-now.com/asset.do?sys_id=asset_012,Employee data
AST-013,Azure Cloud Environment (Multi-Region),Cloud Service,All,CTO,Multi-Region,Confidential,All Data,Critical,1,0.5,https://dev269444.service-now.com/asset.do?sys_id=asset_013,Primary cloud provider
AST-014,Microsoft 365 Tenant,Cloud Service,All,CTO,Multi-Region,Confidential,Corporate Data,High,4,4,https://dev269444.service-now.com/asset.do?sys_id=asset_014,Email, Teams, SharePoint
AST-015,Active Directory / Entra ID,Identity,All,CTO,Multi-Region,Confidential,Identity,High,2,1,https://dev269444.service-now.com/asset.do?sys_id=asset_015,Central identity management
AST-016,Corporate Network (VPN, Firewalls),Network,All,CTO,Multi-Region,Internal,None,Critical,1,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_016,Connectivity backbone
AST-017,Database Servers (SQL/NoSQL),Infrastructure,All,CTO,Multi-Region,Restricted,All Data,Critical,1,0.5,https://dev269444.service-now.com/asset.do?sys_id=asset_017,Holds customer PII and transactions
AST-018,API Gateway,Infrastructure,All,CTO,Multi-Region,Confidential,Transactional Data,High,1,0.5,https://dev269444.service-now.com/asset.do?sys_id=asset_018,All external API traffic
AST-019,Load Balancers,Infrastructure,All,CTO,Multi-Region,Internal,None,Medium,2,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_019,Traffic distribution
AST-020,Email Servers,Infrastructure,All,CTO,Multi-Region,Confidential,Corporate Data,Medium,4,4,https://dev269444.service-now.com/asset.do?sys_id=asset_020,Email routing
AST-021,Customer PII Database,Data,All,DPO,Multi-Region,Restricted,PII,Critical,1,0.5,https://dev269444.service-now.com/asset.do?sys_id=asset_021,All customer personal data
AST-022,Financial Transaction Database,Data,Payments,CFO,Multi-Region,Restricted,Financial,Critical,1,0.5,https://dev269444.service-now.com/asset.do?sys_id=asset_022,All transaction records
AST-023,Intellectual Property (Source Code),Data,Engineering,CTO,Multi-Region,Confidential,IP,Critical,2,2,https://dev269444.service-now.com/asset.do?sys_id=asset_023,Core codebase
AST-024,Employee Records,Data,HR,HR Director,Multi-Region,Restricted,PII,Medium,8,12,https://dev269444.service-now.com/asset.do?sys_id=asset_024,HR and payroll data
AST-025,Internal Corporate Data,Data,All,CISO,Multi-Region,Internal,Corporate Data,Low,24,24,https://dev269444.service-now.com/asset.do?sys_id=asset_025,Internal docs and reports
AST-026,Executive Leadership Team,People,Governance,CISO,Multi-Region,Confidential,None,Critical,N/A,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_026,15 senior leaders
AST-027,Engineering Team (80),People,Engineering,CTO,Multi-Region,Internal,None,High,N/A,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_027,Software engineers
AST-028,Customer Support Team (50),People,Support,VP Operations,Multi-Region,Confidential,None,High,N/A,N/A,https://dev269444.service-now.com/asset.do?sys_id=asset_028,Frontline support
